algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS_PLUS,2,0.9,128,5,8,8,1000000,zipfian,0.8,1434.232,2.15,2.14,2.27,6.39,2.53
EIGER_PORT_PLUS_PLUS,4,0.9,128,5,8,8,1000000,zipfian,0.8,2267.858,2.73,2.72,2.83,10.36,4.01
EIGER_PORT_PLUS_PLUS,8,0.9,128,5,8,8,1000000,zipfian,0.8,3152.446,3.93,3.92,4.01,13.49,7.11
EIGER_PORT_PLUS_PLUS,16,0.9,128,5,8,8,1000000,zipfian,0.8,3856.124,6.42,6.41,6.46,21.96,12.12
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian,0.8,4489.596,11.03,11.02,11.11,35.50,21.49
EIGER_PORT_PLUS_PLUS,64,0.9,128,5,8,8,1000000,zipfian,0.8,5017.41,19.74,19.74,19.80,60.17,38.22
EIGER_PORT_PLUS_PLUS,128,0.9,128,5,8,8,1000000,zipfian,0.8,5561.834,35.73,35.71,35.85,46.68,68.96
EIGER_PORT_PLUS_PLUS,256,0.9,128,5,8,8,1000000,zipfian,0.8,6039.814,65.87,65.85,66.03,65.87,65.87
EIGER_PORT_PLUS_PLUS,512,0.9,128,5,8,8,1000000,zipfian,0.8,6219.224,127.82,127.79,128.12,127.82,127.82
