algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS,2,0.9,128,5,8,8,1000000,zipfian,0.8,1362.282,2.26,2.11,3.67,7.51,2.49
EIGER_PORT_PLUS,4,0.9,128,5,8,8,1000000,zipfian,0.8,2202.984,2.81,2.60,4.68,10.69,4.04
EIGER_PORT_PLUS,8,0.9,128,5,8,8,1000000,zipfian,0.8,3099.322,3.99,3.68,6.80,13.40,7.25
EIGER_PORT_PLUS,16,0.9,128,5,8,8,1000000,zipfian,0.8,3802.238,6.51,5.97,11.44,21.27,12.53
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian,0.8,4461.142,11.10,10.14,19.80,35.48,21.61
EIGER_PORT_PLUS,64,0.9,128,5,8,8,1000000,zipfian,0.8,4989.716,19.86,18.10,35.68,58.31,38.64
EIGER_PORT_PLUS,128,0.9,128,5,8,8,1000000,zipfian,0.8,5449.622,36.36,33.07,65.90,74.94,64.44
EIGER_PORT_PLUS,256,0.9,128,5,8,8,1000000,zipfian,0.8,5883.18,67.38,61.32,121.80,67.38,67.38
EIGER_PORT_PLUS,512,0.9,128,5,8,8,1000000,zipfian,0.8,6139.228,129.35,117.80,233.32,129.35,129.35
