algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT,2,0.9,128,5,8,8,1000000,zipfian,0.8,1366.7959999999998,2.25,2.10,3.68,7.62,2.43
EIGER_PORT,4,0.9,128,5,8,8,1000000,zipfian,0.8,2184.182,2.83,2.62,4.72,10.98,4.21
EIGER_PORT,8,0.9,128,5,8,8,1000000,zipfian,0.8,3100.29,3.99,3.68,6.77,13.26,7.17
EIGER_PORT,16,0.9,128,5,8,8,1000000,zipfian,0.8,3774.924,6.56,6.01,11.53,22.16,12.68
EIGER_PORT,32,0.9,128,5,8,8,1000000,zipfian,0.8,4444.376,11.14,10.15,19.98,35.56,21.74
EIGER_PORT,64,0.9,128,5,8,8,1000000,zipfian,0.8,4969.3099999999995,19.94,18.19,35.78,58.69,38.49
EIGER_PORT,128,0.9,128,5,8,8,1000000,zipfian,0.8,5393.54,36.75,33.47,66.29,76.03,64.81
EIGER_PORT,256,0.9,128,5,8,8,1000000,zipfian,0.8,5907.454,67.13,61.06,121.73,67.13,67.13
EIGER_PORT,512,0.9,128,5,8,8,1000000,zipfian,0.8,6113.63,129.90,118.22,234.94,129.90,129.90
