algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT,32,0.9,128,2,8,8,1000000,zipfian,0.8,18856.42,6.43,5.77,12.40,25.26,15.18
EIGER_PORT,32,0.9,128,8,8,8,1000000,zipfian,0.8,2160.4325,14.33,13.09,25.47,43.68,26.14
EIGER_PORT,32,0.9,128,32,8,8,1000000,zipfian-0.800000,0.8,321.7421875,24.08,21.91,43.56,80.83,39.18
EIGER_PORT,32,0.9,128,128,8,8,1000000,zipfian-0.800000,0.8,40.404765625,47.85,43.44,87.63,47.85,88.21
