algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS_PLUS,32,0.0,128,5,8,8,1000000,zipfian,0.8,1971.6740000000002,25.19,0.00,25.19,25.19,48.70
EIGER_PORT_PLUS_PLUS,32,0.3,128,5,8,8,1000000,zipfian,0.8,2339.204,21.25,21.07,21.33,21.25,39.26
EIGER_PORT_PLUS_PLUS,32,0.5,128,5,8,8,1000000,zipfian,0.8,2804.6580000000004,17.68,17.64,17.72,44.73,33.28
EIGER_PORT_PLUS_PLUS,32,0.7,128,5,8,8,1000000,zipfian,0.8,3419.5860000000002,14.48,14.45,14.56,65.15,26.94
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian,0.8,4489.596,11.03,11.02,11.11,35.11,21.49
EIGER_PORT_PLUS_PLUS,32,1.0,128,5,8,8,1000000,zipfian,0.8,5784.326,8.56,8.56,0.00,21.70,15.50
