algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,4608.2919999999995,10.74,9.81,19.17,34.18,21.00
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.300000,0.3,4455.54,11.13,10.15,20.02,36.45,22.19
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.700000,0.7,4412.404,11.22,10.24,19.98,35.40,21.80
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4461.142,11.10,10.14,19.80,35.48,21.61
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.900000,0.9,4427.626,11.18,10.20,19.99,34.97,21.82
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,4403.206,11.25,10.26,20.08,35.78,22.06
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,4284.372,11.57,10.56,20.67,37.88,22.88
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian-1.200000,1.2,4429.273999999999,11.18,10.21,19.91,34.56,21.59
