algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,3703.88,13.38,12.98,16.93,63.78,40.91
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.300000,0.3,3557.352,14.02,13.63,17.56,67.04,43.91
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.700000,0.7,3647.75,13.58,13.12,17.74,60.04,39.02
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,3588.4919999999997,13.81,13.38,17.67,63.99,42.04
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.900000,0.9,3597.352,13.77,13.33,17.73,62.92,40.77
EIGER,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,3229.222,15.36,14.81,20.36,72.13,44.44
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,3419.406,14.56,14.12,18.55,74.01,47.21
EIGER,32,0.9,128,5,8,8,1000000,zipfian-1.200000,1.2,3614.5260000000003,13.72,13.28,17.68,65.00,41.98
