algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.000000,0.0,4636.796,10.68,10.67,10.78,35.79,21.01
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.300000,0.3,4531.4220000000005,10.94,10.93,11.03,36.45,21.69
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.700000,0.7,4457.742,11.11,11.10,11.17,36.24,21.74
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.800000,0.8,4489.596,11.03,11.02,11.11,35.50,21.49
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.900000,0.9,4512.166,10.97,10.96,11.04,35.62,21.17
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-0.990000,0.99,4458.112,11.11,11.10,11.20,36.80,21.77
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-1.100000,1.1,4371.534,11.36,11.35,11.44,38.25,22.59
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian-1.200000,1.2,4522.168,10.95,10.94,11.03,35.61,21.30
