algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,2,2,1000000,zipfian-0.800000,0.8,2225.3720000000003,5.56,5.55,5.65,14.88,7.41
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,4,4,1000000,zipfian-0.800000,0.8,3160.7,7.83,7.82,7.90,24.46,12.70
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,8,8,1000000,zipfian,0.8,4489.596,11.03,11.02,11.11,35.50,21.49
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,16,16,1000000,zipfian-0.800000,0.8,6908.428,14.34,14.33,14.46,52.00,31.32
EIGER_PORT_PLUS_PLUS,32,0.9,128,5,32,32,1000000,zipfian-0.800000,0.8,11419.008,17.37,17.35,17.55,81.28,44.02
