algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER,32,0.9,128,5,2,2,1000000,zipfian,0.8,2192.752,5.64,5.29,8.82,19.62,8.66
EIGER,32,0.9,128,5,4,4,1000000,zipfian-0.800000,0.8,2888.434,8.57,8.05,13.20,29.36,16.61
EIGER,32,0.9,128,5,8,8,1000000,zipfian,0.8,3623.772,13.67,13.22,17.71,62.77,40.47
EIGER,32,0.9,128,5,16,16,1000000,zipfian-0.800000,0.8,4400.780000000001,22.53,22.95,18.79,22.53,33.79
EIGER,32,0.9,128,5,32,32,1000000,zipfian-0.800000,0.8,4421.737999999999,44.89,47.37,22.55,44.89,44.89
