algorithm,threads,read_prop,value_size,txn_size,num_clients,num_servers,num_key,distribution,zipfian_constant,throughput,average_latency,read_latency,write_latency,99th_latency,95th_latency
EIGER_PORT_PLUS,32,0.9,128,5,2,2,1000000,zipfian,0.8,2216.536,5.58,5.09,9.97,17.64,7.74
EIGER_PORT_PLUS,32,0.9,128,5,4,4,1000000,zipfian-0.800000,0.8,3095.95,7.99,7.32,14.01,26.44,13.14
EIGER_PORT_PLUS,32,0.9,128,5,8,8,1000000,zipfian,0.8,4461.142,11.10,10.14,19.80,35.48,21.61
EIGER_PORT_PLUS,32,0.9,128,5,16,16,1000000,zipfian-0.800000,0.8,6816.353999999999,14.53,13.14,27.03,51.41,31.24
EIGER_PORT_PLUS,32,0.9,128,5,32,32,1000000,zipfian-0.800000,0.8,11116.288,17.85,15.67,37.43,75.84,43.44
